evidence_rank,agent,agent_label,rank_within_agent,main_draw,auxiliary_draw,backtest_consistency_pct,backtest_mean_roi_alpha_pp,history_cutoff,score_status,commitment_sha256
73,uniform_random,Uniform null,1,1 5 16 32 34 40,,0.0,0.0,2026-08-22,PENDING,b5f8fd5e8151df3e5193f7bdc54c6573480bb1b08394919ef8c86cd26073bcff
74,uniform_random,Uniform null,2,1 11 12 36 40 42,,0.0,0.0,2026-08-22,PENDING,05dec025f9ae4c15c07345b15da9a09789ce6e302f981a065f00d2746628b471
75,uniform_random,Uniform null,3,2 3 15 16 34 42,,0.0,0.0,2026-08-22,PENDING,7cd146048e5791d9da24c9da1bff3853fb41b89ea723221344e206b95db8a527
76,uniform_random,Uniform null,4,3 25 32 37 41 43,,0.0,0.0,2026-08-22,PENDING,ac4fed4529bd8bed7449391fa8a687a5feb922cc6189a0c720f07b8722bb5a53
77,uniform_random,Uniform null,5,4 9 14 17 18 40,,0.0,0.0,2026-08-22,PENDING,99d29d322cd8c3a376068c19d25f418b50f2ff7a8de63bb46fcde56471f20dcb
78,uniform_random,Uniform null,6,4 12 18 22 24 36,,0.0,0.0,2026-08-22,PENDING,06cc21216fe4fdcf7c29e4280ac7cf2b07e36350bf8ca971602c58bb2b4b72b6
79,uniform_random,Uniform null,7,4 18 29 30 31 34,,0.0,0.0,2026-08-22,PENDING,14087ea171f59e7f4ee4878e7262410d2b4032e3ea4398accfae7a209d543295
80,uniform_random,Uniform null,8,5 14 16 26 29 39,,0.0,0.0,2026-08-22,PENDING,bb69e120f50530b51b2ed0e0d40a07b558f941988884737270451d8326527fab
81,uniform_random,Uniform null,9,12 20 26 28 43 45,,0.0,0.0,2026-08-22,PENDING,139e0d466ada955e8c45e5958aa33c80dd96b5d6bf33c47ae4f4d3fd2556a264
82,uniform_random,Uniform null,10,14 18 23 29 37 38,,0.0,0.0,2026-08-22,PENDING,21dec393ae0c66e8c52ba310b6553ff6e4eaa4b0bc8986021354d28a005a3b49
83,uniform_random,Uniform null,11,14 19 20 24 29 32,,0.0,0.0,2026-08-22,PENDING,3864bbbe98785f43bb3ef19795ef89be4576c39624658a0a32361f794ae0e02c
84,uniform_random,Uniform null,12,26 28 32 36 39 40,,0.0,0.0,2026-08-22,PENDING,89e99f78d8cc43fc3b82737475e630f4f1734446ccb4540e79d0410e41886379
